Date : 2022-11-08 20:18:55
Directory : c:\xampp\htdocs\S.I.G.D
Total : 143 files,  26841 codes, 517 comments, 7727 blanks, all 35085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\equipoController.php                      | PHP        |         20 |          0 |         13 |         33 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\logoutController.php                      | PHP        |         15 |          2 |          5 |         22 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\partidosController.php                    | PHP        |         35 |          0 |         26 |         61 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\profileController.php                     | PHP        |         58 |          1 |         21 |         80 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\sessionController.php                     | PHP        |         25 |          2 |         10 |         37 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\torneoController.php                      | PHP        |         35 |          0 |         20 |         55 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminCargarUsuario.php                           | PHP        |         89 |          0 |         31 |        120 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminEliminarUsuario.php                         | PHP        |        110 |          0 |         19 |        129 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminModificarUsuario.php                        | PHP        |        256 |          0 |         42 |        298 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdministrativoCargarUsuario.php                  | PHP        |         89 |          0 |         31 |        120 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AnalistaCargarActuacion.php                      | PHP        |        177 |          0 |         32 |        209 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AnalistaCargarCampeonato.php                     | PHP        |         55 |          0 |         15 |         70 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AnalistaCargarPartido.php                        | PHP        |         57 |          0 |         17 |         74 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Equipo.php                                       | PHP        |        106 |          0 |         34 |        140 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Partidos.php                                     | PHP        |         39 |          0 |         21 |         60 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Torneo.php                                       | PHP        |         48 |          0 |         23 |         71 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Usuario.php                                      | PHP        |        137 |          0 |         23 |        160 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Utils\util.php                                          | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\S.I.G.D\Backend\config\Conexion.php                                         | PHP        |         19 |          3 |          5 |         27 |
| c:\xampp\htdocs\S.I.G.D\Backend\index.php                                                   | PHP        |         10 |          0 |          6 |         16 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\arcanet\arcanet.css                                    | CSS        |         90 |          0 |          7 |         97 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\bootstrap.min.css                                      | CSS        |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\index\index.css                                        | CSS        |        411 |          1 |         54 |        466 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\información\deportes.css                               | CSS        |        305 |          1 |         58 |        364 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\funcionalidades.css                              | CSS        |        629 |          1 |         77 |        707 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\roles.css                                        | CSS        |        286 |          0 |         33 |        319 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\arcanet\arcanet.html                                  | HTML       |         60 |          0 |         43 |        103 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\arcanet\ayuda_soporte.html                            | HTML       |         63 |          0 |         28 |         91 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\contraseña.html                           | HTML       |         69 |          4 |         34 |        107 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\basquetbol.html                  | HTML       |        178 |          6 |         82 |        266 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\futbol.html                      | HTML       |        201 |          5 |         96 |        302 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\handbol.html                     | HTML       |        185 |          6 |         86 |        277 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\egresados.html               | HTML       |        158 |          6 |         76 |        240 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\historia.html                | HTML       |        162 |          6 |         70 |        238 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\objetivo.html                | HTML       |        152 |          6 |         67 |        225 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sigd\historia.html                        | HTML       |        157 |          6 |         49 |        212 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sigd\objetivos.html                       | HTML       |        151 |          6 |         65 |        222 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sugerencias\sugerencia.html               | HTML       |        160 |          6 |         47 |        213 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\Perfil.html                       | HTML       |        214 |          4 |         51 |        269 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\administrador.html                | HTML       |        119 |          4 |         44 |        167 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_campeonato.html            | HTML       |        285 |          4 |         60 |        349 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_estadisticas.html          | HTML       |        227 |          4 |         57 |        288 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_partido.html               | HTML       |        186 |          4 |         67 |        257 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_usuarios.html              | HTML       |        195 |          5 |         53 |        253 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\crear_equipo.html                 | HTML       |        175 |          4 |         42 |        221 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\eliminar_usuario.html             | HTML       |        148 |          4 |         41 |        193 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\equipo.html                       | HTML       |        313 |         12 |         68 |        393 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticajugador.html           | HTML       |        206 |          4 |         62 |        272 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticas.html                 | HTML       |        217 |          4 |         60 |        281 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticas_personales.html      | HTML       |        154 |          4 |         47 |        205 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\graficacomparativa.html           | HTML       |        206 |          4 |         58 |        268 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificaciones.html               | HTML       |        185 |          5 |         40 |        230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificar_usuario.html            | HTML       |        234 |          5 |         61 |        300 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\partidos.html                     | HTML       |        303 |          4 |         50 |        357 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\torneo.html                       | HTML       |        428 |          8 |        201 |        637 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\usuarios_cargados.html            | HTML       |        154 |          4 |         39 |        197 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\validar_sancion.html              | HTML       |        178 |          3 |         46 |        227 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\ver_equipo.html                   | HTML       |        413 |          4 |         61 |        478 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\administrativo.html              | HTML       |         87 |          4 |         43 |        134 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\cargar_usuarios.html             | HTML       |        162 |          5 |         54 |        221 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\estadisticas.html                | HTML       |        184 |          4 |         66 |        254 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\partidos.html                    | HTML       |        270 |          4 |         54 |        328 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\perfil.html                      | HTML       |        177 |          5 |         53 |        235 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\torneo.html                      | HTML       |        395 |          8 |        203 |        606 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\usuarios_cargados.html           | HTML       |        133 |          4 |         44 |        181 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\Perfil.html                            | HTML       |        180 |          4 |         46 |        230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\analista.html                          | HTML       |         92 |          4 |         37 |        133 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_actuaciones.html                | HTML       |        112 |          4 |         51 |        167 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_campeonato.html                 | HTML       |        172 |          4 |         48 |        224 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_estadisticas.html               | HTML       |        174 |          4 |         45 |        223 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_partidos.html                   | HTML       |        161 |          4 |         65 |        230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\equipo.html                            | HTML       |        382 |          4 |         58 |        444 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\estadisticas.html                      | HTML       |        186 |          4 |         60 |        250 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\partidos.html                          | HTML       |        272 |          4 |         49 |        325 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\torneo.html                            | HTML       |        397 |          8 |        195 |        600 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\Perfil.html                          | HTML       |        221 |          5 |         53 |        279 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\deportista.html                      | HTML       |         89 |          4 |         37 |        130 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\equipo.html                          | HTML       |        214 |          5 |         59 |        278 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\equipo_compañeros.html               | HTML       |        278 |         11 |         69 |        358 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\estadisticas.html                    | HTML       |        974 |         13 |        204 |      1,191 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\estadisticas_personales.html         | HTML       |        329 |          4 |         77 |        410 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\partidos.html                        | HTML       |        121 |          4 |         49 |        174 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\partidos_equipo.html                 | HTML       |        261 |          4 |         49 |        314 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\torneo.html                          | HTML       |        144 |          4 |         61 |        209 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\Perfil.html                          | HTML       |        181 |          5 |         60 |        246 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\crear_equipo.html                    | HTML       |        178 |          4 |         51 |        233 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\entrenador.html                      | HTML       |         96 |          4 |         43 |        143 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\equipo.html                          | HTML       |        406 |          5 |         86 |        497 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\estadisticas.html                    | HTML       |        206 |          4 |         63 |        273 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\estadisticas_personales.html         | HTML       |        128 |          4 |         54 |        186 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\partidos.html                        | HTML       |        286 |          4 |         60 |        350 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\entrenador\torneo.html                          | HTML       |        402 |          8 |        204 |        614 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\Perfil.html                                | HTML       |        181 |          5 |         55 |        241 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\equipo.html                                | HTML       |        285 |         11 |         73 |        369 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\estadisticas.html                          | HTML       |        191 |          4 |         61 |        256 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\estadisticas_personales.html               | HTML       |        128 |          4 |         46 |        178 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\juez.html                                  | HTML       |         96 |          4 |         35 |        135 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\partidos_ju_prox.html                      | HTML       |        277 |          4 |         55 |        336 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\torneo.html                                | HTML       |        402 |          8 |        199 |        609 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\juez\validar_sancion.html                       | HTML       |        200 |          3 |         52 |        255 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\Perfil.html                               | HTML       |        166 |          4 |         52 |        222 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\equipo.html                               | HTML       |        276 |         11 |         69 |        356 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\estadisticajugador.html                   | HTML       |        171 |          4 |         55 |        230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\graficacomparativa.html                   | HTML       |      1,039 |         15 |        176 |      1,230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\partido.html                              | HTML       |        268 |          5 |         47 |        320 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\scouts.html                               | HTML       |         83 |          4 |         30 |        117 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\scout\torneo.html                               | HTML       |        393 |          8 |        200 |        601 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\equipo.html                             | HTML       |        439 |          7 |         86 |        532 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\equipo_compañeros.html                  | HTML       |        339 |         13 |         85 |        437 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\estadisticas.html                       | HTML       |        245 |          6 |         75 |        326 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\estadisticas_personales.html            | HTML       |        182 |          6 |         64 |        252 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\partidos.html                           | HTML       |        331 |          7 |         63 |        401 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\partidos_equipo.html                    | HTML       |        322 |          6 |         63 |        391 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\torneo.html                             | HTML       |        456 |         10 |        209 |        675 |
| c:\xampp\htdocs\S.I.G.D\Frontend\index.html                                                 | HTML       |        238 |          6 |         51 |        295 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\adminCargarUsuario.js                                   | JavaScript |        162 |          0 |         47 |        209 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\adminEliminarUsuario.js                                 | JavaScript |         85 |          0 |         27 |        112 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\adminModificarUsuario.js                                | JavaScript |        256 |          0 |         69 |        325 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\administrativoCargarUsuario.js                          | JavaScript |        162 |          0 |         47 |        209 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\analistaCargarActuacion.js                              | JavaScript |        420 |          9 |         75 |        504 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\analistaCargarCampeonato.js                             | JavaScript |        147 |          1 |         59 |        207 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\analistaCargarPartido.js                                | JavaScript |        145 |          0 |         50 |        195 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\bootstrap.min.js                                        | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\buscador.js                                             | JavaScript |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\equipo.js                                               | JavaScript |        225 |          2 |         71 |        298 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\estadistica.js                                          | JavaScript |         21 |          0 |          5 |         26 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\formularios.js                                          | JavaScript |         36 |          0 |          8 |         44 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\partidos.js                                             | JavaScript |        129 |          2 |         51 |        182 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\perfiles.js                                             | JavaScript |         70 |          0 |         34 |        104 |
| c:\xampp\htdocs\S.I.G.D\Frontend\js\torneo.js                                               | JavaScript |        164 |          0 |         92 |        256 |
| Total                                                                                       |            |     26,841 |        517 |      7,727 |     35,085 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
